epoch	batch	iter	loss	Accuracy	Precision	Recall	lr
0	1	-33	0.7058957815170288	0.0	0.0	0.0	0.01
0	2	-32	0.6260485053062439	0.0	0.0	0.0	0.01
0	3	-31	0.5253627896308899	0.0	0.0	0.0	0.01
0	4	-30	0.4093298316001892	0.0	0.15625	0.0625	0.01
0	5	-29	0.28441688418388367	0.0	0.08094405594405595	0.18125	0.01
0	6	-28	0.18174275755882263	0.0	0.06265297202797203	0.15	0.01
0	7	-27	0.109039805829525	0.0	0.0488251332001332	0.11041666666666668	0.01
0	8	-26	0.08080221712589264	0.0	0.035890151515151514	0.06979166666666665	0.01
0	9	-25	0.05316876992583275	0.0	0.07659527972027971	0.17291666666666666	0.01
0	10	-24	0.04092046990990639	0.0	0.05394345238095238	0.12708333333333333	0.01
0	11	-23	0.06699152290821075	0.0	0.07284699304823143	0.2020833333333333	0.01
0	12	-22	0.0690225139260292	0.0	0.0636532738095238	0.16562499999999997	0.01
0	13	-21	0.05144519731402397	0.0	0.06509675985778926	0.17604166666666665	0.01
0	14	-20	0.022398265078663826	0.0	0.043273393273393274	0.115625	0.01
0	15	-19	0.03289708122611046	0.0	0.034928613053613056	0.07291666666666667	0.01
0	16	-18	0.020748693495988846	0.0	0.04874297475400417	0.12708333333333333	0.01
0	17	-17	0.04349784180521965	0.0	0.040937553749570005	0.12500000000000003	0.01
0	18	-16	0.11559510976076126	0.0	0.06155943836864889	0.23125000000000004	0.01
0	19	-15	0.016904640942811966	0.0	0.0555305166324903	0.2177083333333333	0.01
0	20	-14	0.03600034490227699	0.0	0.06142923501619153	0.2833333333333333	0.01
0	21	-13	0.05307754501700401	0.0	0.0454277063516194	0.20625000000000002	0.01
0	22	-12	0.04831762984395027	0.0	0.053650284900284895	0.23958333333333337	0.01
0	23	-11	0.20031245052814484	0.0	0.031674653172498	0.15208333333333335	0.01
0	24	-10	0.15381315350532532	0.0	0.03713790088982807	0.20208333333333334	0.01
0	25	-9	0.035079918801784515	0.0	0.04226669168084364	0.22708333333333336	0.01
0	26	-8	0.12775807082653046	0.0	0.03480495290883569	0.190625	0.01
0	27	-7	0.06910660117864609	0.0	0.02572792180981223	0.14270833333333335	0.01
0	28	-6	0.04335955157876015	0.0	0.03514515461904922	0.19166666666666668	0.01
0	29	-5	0.05467285215854645	0.0	0.04588851385179413	0.2635416666666667	0.01
0	30	-4	0.07032130658626556	0.0	0.05901990032456363	0.35625000000000007	0.01
0	31	-3	0.0432325042784214	0.0	0.0318611364389353	0.19270833333333331	0.01
0	32	-2	0.024938393384218216	0.0	0.03687111269238878	0.20729166666666665	0.01
0	33	-1	0.10151979327201843	0.0	0.0365119493039404	0.20520833333333333	0.01
0	34	0	0.05980949476361275	0.0	0.043262629179620274	0.20729166666666668	0.01
1	1	1	0.06275662034749985	0.0	0.024209636760781212	0.15	0.01
1	2	2	0.03825164958834648	0.0	0.026777358670741026	0.15208333333333335	0.01
1	3	3	0.01695830002427101	0.0	0.039161001573537156	0.21666666666666667	0.01
1	4	4	0.016002126038074493	0.0	0.018516938025210084	0.115625	0.01
1	5	5	0.03050372004508972	0.0	0.03135174025750651	0.2333333333333333	0.01
1	6	6	0.011387095786631107	0.0	0.03563451448513369	0.22708333333333333	0.01
1	7	7	0.013877726159989834	0.0	0.04890175239439946	0.31249999999999994	0.01
1	8	8	0.03154263645410538	0.0	0.05288254279443428	0.328125	0.01
1	9	9	0.01879999227821827	0.0	0.04741583247424092	0.3020833333333333	0.01
1	10	10	0.022610798478126526	0.0	0.05527831454087854	0.31354166666666666	0.01
1	11	11	0.04020242393016815	0.0	0.040659251760242085	0.23958333333333334	0.01
1	12	12	0.0444948673248291	0.0	0.03114216339242555	0.19895833333333335	0.01
1	13	13	0.034814514219760895	0.0	0.026323436698698854	0.16666666666666666	0.01
1	14	14	0.014416630379855633	0.0	0.02031610762260917	0.12708333333333335	0.01
1	15	15	0.016673266887664795	0.0	0.027882267367042343	0.17708333333333331	0.01
1	16	16	0.012194091454148293	0.0	0.015707082551594746	0.10625	0.01
1	17	17	0.02007693238556385	0.0	0.01817717128239339	0.12708333333333335	0.01
1	18	18	0.056995466351509094	0.0	0.010650083612040132	0.075	0.01
1	19	19	0.011854077689349651	0.0	0.014079698009695472	0.10416666666666667	0.01
1	20	20	0.01566198095679283	0.0	0.014387230094466935	0.09791666666666667	0.01
1	21	21	0.021803300827741623	0.0	0.013169121803990226	0.09270833333333334	0.01
1	22	22	0.025372957810759544	0.0	0.01855172689776348	0.13333333333333333	0.01
1	23	23	0.10063455998897552	0.0	0.015492427252295674	0.09791666666666667	0.01
1	24	24	0.06814984232187271	0.0	0.01171990472977315	0.075	0.01
1	25	25	0.021006794646382332	0.0	0.008887485174249879	0.05416666666666667	0.01
1	26	26	0.05828453227877617	0.0	0.015507117151853994	0.10104166666666667	0.01
