Epoch: [1][28/35]	Loss 0.0546 (0.2240)	Acc 0.999 (0.999)
Epoch: [1][29/35]	Loss 0.1408 (0.2212)	Acc 0.999 (0.999)
Epoch: [1][30/35]	Loss 0.0747 (0.2163)	Acc 1.000 (0.999)
Epoch: [1][31/35]	Loss 0.0522 (0.2110)	Acc 0.999 (0.999)
Epoch: [1][32/35]	Loss 0.1741 (0.2098)	Acc 0.999 (0.999)
Epoch: [1][33/35]	Loss 0.1544 (0.2081)	Acc 0.999 (0.999)
Epoch: [1][34/35]	Loss 0.1727 (0.2071)	Acc 1.000 (0.999)
Epoch: [1][35/35]	Loss 0.0106 (0.2067)	Acc 0.999 (0.999)
Validation: [1][1/12]	Loss 0.0961 (0.0961)	Acc 1.000 (1.000)
Validation: [1][2/12]	Loss 0.1200 (0.1081)	Acc 1.000 (1.000)
Validation: [1][3/12]	Loss 0.1704 (0.1289)	Acc 1.000 (1.000)
Validation: [1][4/12]	Loss 0.1126 (0.1248)	Acc 1.000 (1.000)
Validation: [1][5/12]	Loss 0.1430 (0.1284)	Acc 1.000 (1.000)
Validation: [1][6/12]	Loss 0.2408 (0.1472)	Acc 1.000 (1.000)
Validation: [1][7/12]	Loss 0.1192 (0.1432)	Acc 1.000 (1.000)
Validation: [1][8/12]	Loss 0.0754 (0.1347)	Acc 1.000 (1.000)
Validation: [1][9/12]	Loss 0.1622 (0.1377)	Acc 1.000 (1.000)
Validation: [1][10/12]	Loss 0.1305 (0.1370)	Acc 1.000 (1.000)
Validation: [1][11/12]	Loss 0.3069 (0.1525)	Acc 1.000 (1.000)
Validation: [1][12/12]	Loss 0.1479 (0.1523)	Acc 1.000 (1.000)
Epoch: [2][1/35]	Loss 0.0963 (0.0963)	Acc 1.000 (1.000)
Epoch: [2][2/35]	Loss 0.1936 (0.1449)	Acc 1.000 (1.000)
Epoch: [2][3/35]	Loss 0.0310 (0.1070)	Acc 0.999 (1.000)
Epoch: [2][4/35]	Loss 0.1345 (0.1138)	Acc 0.999 (0.999)
Epoch: [2][5/35]	Loss 0.0781 (0.1067)	Acc 0.999 (0.999)
Epoch: [2][6/35]	Loss 0.1024 (0.1060)	Acc 0.999 (0.999)
Epoch: [2][7/35]	Loss 0.0442 (0.0971)	Acc 0.999 (0.999)
Epoch: [2][8/35]	Loss 0.2596 (0.1175)	Acc 1.000 (0.999)
Epoch: [2][9/35]	Loss 0.0970 (0.1152)	Acc 0.999 (0.999)
Epoch: [2][10/35]	Loss 0.0395 (0.1076)	Acc 0.999 (0.999)
Epoch: [2][11/35]	Loss 0.0473 (0.1021)	Acc 0.999 (0.999)
Epoch: [2][12/35]	Loss 0.0854 (0.1007)	Acc 1.000 (0.999)
Epoch: [2][13/35]	Loss 0.2587 (0.1129)	Acc 0.999 (0.999)
Epoch: [2][14/35]	Loss 0.0896 (0.1112)	Acc 0.999 (0.999)
Epoch: [2][15/35]	Loss 0.1077 (0.1110)	Acc 0.999 (0.999)
Epoch: [2][16/35]	Loss 0.1068 (0.1107)	Acc 0.999 (0.999)
Epoch: [2][17/35]	Loss 0.2335 (0.1179)	Acc 1.000 (0.999)
